orig_text,reporting_date
"Virgin B744 at Antigua on Dec 8th 2007, ran off runway while backtracking",2007-12-08
"All Nippon Dash8-400 at Kochi on Mar 13th 2007, landed without nose gear",2007-12-09
"ComAir CRJ and America West  A320 at Baltimore on Dec 8th 2007, ComAir took off over America West, 91m separation",2007-12-09
"Air France A340 at Toronto on Aug 2nd 2005, overshoots runway and bursts in flames",2007-12-10
"Air France B773 at Paris on December 11th 2007, technicians refused to let airplane fly",2007-12-15
"Cathay A340 at Vancouver on Dec 15th 2007, flaps problem after takeoff",2007-12-15
"United B772 at Chicago on Dec 14th 2007, smoke in the cockpit",2007-12-15
"Air Transat A310 at Varadero, Cuba on March 6th 2005, looses rudder on dep from VRA.",2007-12-19
"Mahan A310 at Birmingham on Feb 23rd 2006, early descent below MDA",2007-12-19
"China Airlines B744 at Taipeh on Dec 8th 2007, cabin door opened in flight",2007-12-20
"EasyJet A319 at Luton on Dec 21st 2007, smoke in the cabin",2007-12-22
"United B772 at Chicago on Dec 23rd 2007, engine#1 running rough, smell of burning oil in cabine",2007-12-22
"United B752 at Los Angeles on Dec 26th 2007, cracked windshield forces return",2007-12-25
"United B777 at San Francisco on Dec 21st 2007, smoke in the cockpit",2007-12-25
"US Airways A320 at Albuquerque on Dec 24th 2007, copilot collapsed enroute, steep descent and go around",2007-12-26
"South African B737 at Lusaka on Dec 11th 2007, hit a utility truck while taxiing after landing",2008-01-02
"Asian Spirit BAe146 at Masbate on Jan 2nd 2007, overran runway on landing",2008-01-03
"Atlas Blue B734 at Deauville on Jan 3rd 2008, overran runway on landing",2008-01-03
"Tarom B733 at Bucharest on Dec 30th 2007, hit car on runway during takeoff",2008-01-03
"TUIFly B738 at Berlin Tegel on Jan 5th 2007, flapless landing",2008-01-05
"British Airway B744 at Heathrow on Jan 9th 2008, defective AOA sensor forces return",2008-01-11
"Sri Lanka A340 at Frankfurt on Jan 9th 2008, push back before aerobridge removed",2008-01-11
"Singapore A380 at Singapore on Jan 10th 2008, departed paved surface and got stuck in the mud",2008-01-12
"Lufthansa A300 at Berlin Tegel on Jan 15th 2008, rejected takeoff after near loss of directional control",2008-01-13
"Icelandic A306 at Paris CDG on Jan 15th 2008, veered off runway on landing",2008-01-15
"Air Canada A319 near Calgary on Jan 10th 2008, hit clear air turbulence, injuries on board",2008-01-17
"BA A319 near Clacton on Oct 22nd 2005, loss of electrics for 90 seconds",2008-01-17
"Iberia A320 at Bilbao on Jan 16th 2008, aborted ""interesting"" landing with ground contact (picture sequence)",2008-01-17
"Privilege Jet L101 at Jeddah on Jan 16th 2008, rejected takeoff",2008-01-18
"Tunis Air ATR72 near Palermo, Sicily on August 6th 2005, forced to ditch, both engines stopped",2008-01-19
"Aer Arann ATR42 at Donegal on Jan 21st 2008, diverts after engine fault",2008-01-21
"Air Berlin A320 at Munich on Jan 21st 2008, returned to Munich with engine trouble",2008-01-22
"Alitalia MD83 at Milano Linate on Jan 19th 2008, 3 pax used mobile phones, rejected takeoff",2008-01-22
"United B757 near Denver on Jan 21st 2008, clear air turbulence, 10 injuries",2008-01-22
"Lufthansa A320 at Berlin Tegel on Jan 22nd 2008, visible light smoke in cockpit",2008-01-23
"Delta B767 at Moscow on Jan 26th 2008, tailstrike on takeoff",2008-01-26
"Merpati B733 at Merauke on Jan 28th 2008, hit calf on landing",2008-01-28
"SouthWest B733 at Spokane on Jan 27th 2008, overran runway on landing in snow",2008-01-28
"Air Canada B763 near Shannon on Jan 28th 2008, copilot suffered break down",2008-01-29
"Easyjet A319 at Malmö on Jan 28th 2008, problems with flaps and speedbrakes",2008-01-29
"American B752 near Grand Junction on Jan 31st 2008, smoke in cabin",2008-01-31
"WestJet B737 near Winnipeg on Jan 31st 2008, engine trouble prompts diversion",2008-01-31
"KLM B738 at Oslo on Feb 1st 2008, ran off runway on landing",2008-02-02
"American B772 near Toronto on Feb 2nd 2008, burning smell prompts diversion",2008-02-03
"Austrian F100 near Leeds on Feb 2nd 2008, engine #2 rolled back to idle",2008-02-03
"Singapore B772 near Singapore on Feb 2nd 2008, loss of cabin pressure",2008-02-03
"United B772 at Paris CDG on Feb 4th 2008, burning tyre forces evacuation",2008-02-03
"Singapore B773 near Frankfurt on Feb 1st 2008, engine trouble forces diversion",2008-02-05
"United B763 near Kansas on Feb 4th 2008, smell of smoke prompts diversion",2008-02-05
"Air Canada B763 and others near Brasilia on Jun 3rd 2007, near mid air collision between 3 airliners",2008-02-06
"Air France B773 at Milano Malpensa on Jan 25th 2008, unscheduled landing",2008-02-06
"Air France B773 near Rome on Dec 12th 2007, engine failure enroute",2008-02-06
"ExpressJet E145 at Greenville on Feb 6th 2008, smoke detector in toilet prompts return",2008-02-06
"ExpressJet E145 at Lexington on Feb 4th 2008, leak in engine supply line forces return",2008-02-06
"Gulf Air A343 near Istanbul on Feb 6th 2006, open freight door indication",2008-02-06
"Swiss A343 at Tel Aviv on Feb 3rd 2008, rejected takeoff after puncture of tyre",2008-02-06
"Alitalia B777 near Sao Paolo on Jun 12th 2007, near miss with private plane",2008-02-07
"KLM B772 near Amsterdam on Feb 6th 2008, unspecified problem prompts return",2008-02-07
"Indian A320 at Guwahati on Feb 7th 2008, multiple bird strikes on approach",2008-02-08
"AeroSur B727 at La Paz on Feb 9th 2008, overran runway",2008-02-09
"United B752 near Omaha on Feb 8th 2008, false fire alert enroute",2008-02-09
